month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2007-02-28,"['CHF', 'EUR', 'GBP']","['CAD', 'JPY', 'AUD']",3.7519,5.4862,6.43,0.54,2.0505,4.156,0.1088,0.1196,0.0594,-0.0251,0.0751,-0.0284,-0.1734,-0.0152,-0.286,0.1772,0.0684,-0.2653,7.7,0.0579,-0.3284
2007-03-30,"['AUD', 'NZD', 'GBP']","['CAD', 'JPY', 'EUR']",3.7519,5.4862,6.43,0.54,2.0505,4.156,0.1024,0.1324,0.129,0.001,0.0736,0.013,-0.1734,-0.0152,-0.286,0.1772,0.0684,-0.2653,7.7,0.1609,-0.3284
2007-04-30,"['AUD', 'GBP', 'NZD']","['CAD', 'JPY', 'CHF']",3.8909,5.5495,6.43,0.66,2.1599,4.1675,0.0811,0.0958,0.0921,-0.0471,0.0263,0.0065,-0.1929,-0.0002,-0.268,0.1729,0.0627,-0.2561,7.88,0.1615,-0.2984
2007-05-31,"['AUD', 'GBP', 'NZD']","['JPY', 'CAD', 'CHF']",3.9753,5.649,6.48,0.65,2.2239,4.1625,0.0499,0.058,0.1036,-0.0759,-0.006,0.0291,-0.2001,0.0016,-0.2952,0.1905,0.075,-0.2833,7.98,0.1647,-0.323
2007-06-29,"['AUD', 'GBP', 'NZD']","['JPY', 'CAD', 'EUR']",3.9753,5.649,6.48,0.65,2.2239,4.1625,0.0592,0.0857,0.1443,-0.0706,0.0018,0.0486,-0.2001,0.0016,-0.2952,0.1905,0.075,-0.2833,7.98,0.2681,-0.323
2007-07-31,"['AUD', 'GBP', 'NZD']","['CAD', 'JPY', 'CHF']",4.1478,5.8802,6.42,0.73,2.4437,4.36,0.0712,0.0863,0.1126,-0.0331,0.0243,0.06,-0.1298,-0.0203,-0.288,0.2496,0.1054,-0.3264,8.32,0.2334,-0.2754
2007-08-31,"['AUD', 'GBP', 'NZD']","['JPY', 'CHF', 'CAD']",4.2162,6.024,6.47,0.77,2.6117,4.4975,0.0642,0.0596,0.0721,0.0145,0.0187,0.0465,-0.1082,-0.0,-0.3639,0.2763,0.1194,-0.3504,8.44,0.0721,-0.3386
2007-09-28,"['GBP', 'AUD', 'NZD']","['JPY', 'CAD', 'CHF']",4.2162,6.024,6.47,0.77,2.6117,4.4975,0.1264,0.0933,0.1881,0.0285,0.0752,0.1242,-0.1082,-0.0,-0.3639,0.2763,0.1194,-0.3504,8.44,0.1605,-0.3386
2007-10-31,"['GBP', 'AUD', 'NZD']","['JPY', 'CHF', 'CAD']",4.7417,6.6469,6.94,0.85,2.4935,3.9975,0.1337,0.09,0.2018,0.0117,0.0727,0.1843,-0.1212,0.0305,-0.3229,0.2248,0.1108,-0.3922,8.81,0.1503,-0.2334
2007-11-30,"['EUR', 'AUD', 'NZD']","['JPY', 'CHF', 'CAD']",4.6874,6.2701,6.91,0.85,2.4567,3.936,0.1045,0.0457,0.12,0.0417,0.0584,0.1425,-0.125,0.0388,-0.3705,0.2244,0.1214,-0.4467,8.68,0.1179,-0.2425
2007-12-31,"['EUR', 'AUD', 'NZD']","['JPY', 'GBP', 'CHF']",4.6385,6.4086,7.15,0.87,2.295,3.9625,0.1055,0.0141,0.1129,0.0666,0.0762,0.1675,-0.1366,0.0432,-0.3331,0.211,0.103,-0.4471,8.73,0.0868,-0.2087
