direction,entry,exit,pnl,open_time,close_time,reason
SHORT,7.797840,7.801170,-0.003330,2022-12-28T00:05:00+00:00,2022-12-30T15:25:00+00:00,REV
LONG,7.801170,7.807590,0.006420,2022-12-30T15:25:00+00:00,2023-01-06T03:17:00+00:00,REV
SHORT,7.807590,7.810130,-0.002540,2023-01-06T03:17:00+00:00,2023-01-11T02:33:00+00:00,REV
LONG,7.810130,7.806740,-0.003390,2023-01-11T02:33:00+00:00,2023-01-16T04:21:00+00:00,REV
SHORT,7.806740,7.812770,-0.006030,2023-01-16T04:21:00+00:00,2023-01-17T03:42:00+00:00,REV
LONG,7.812770,7.827420,0.014650,2023-01-17T03:42:00+00:00,2023-01-26T17:31:00+00:00,REV
SHORT,7.827420,7.832930,-0.005510,2023-01-26T17:31:00+00:00,2023-01-30T08:51:00+00:00,REV
LONG,7.832930,7.848840,0.015910,2023-01-30T08:51:00+00:00,2023-02-15T01:22:00+00:00,REV
SHORT,7.848840,7.845870,0.002970,2023-02-15T01:22:00+00:00,2023-02-22T05:39:00+00:00,REV
LONG,7.845870,7.843010,-0.002860,2023-02-22T05:39:00+00:00,2023-02-28T01:40:00+00:00,REV
SHORT,7.843010,7.849760,-0.006750,2023-02-28T01:40:00+00:00,2023-02-28T11:38:00+00:00,REV
LONG,7.849760,7.849030,-0.000730,2023-02-28T11:38:00+00:00,2023-03-07T01:00:00+00:00,REV
SHORT,7.849030,7.850200,-0.001170,2023-03-07T01:00:00+00:00,2023-03-08T04:48:00+00:00,REV
LONG,7.850200,7.848930,-0.001270,2023-03-08T04:48:00+00:00,2023-03-10T03:20:00+00:00,REV
SHORT,7.848930,7.849330,-0.000400,2023-03-10T03:20:00+00:00,2023-03-15T03:08:00+00:00,REV
LONG,7.849330,7.847250,-0.002080,2023-03-15T03:08:00+00:00,2023-03-20T03:46:00+00:00,REV
SHORT,7.847250,7.848940,-0.001690,2023-03-20T03:46:00+00:00,2023-03-23T04:54:00+00:00,REV
LONG,7.848940,7.848740,-0.000200,2023-03-23T04:54:00+00:00,2023-03-29T06:03:00+00:00,REV
SHORT,7.848740,7.850170,-0.001430,2023-03-29T06:03:00+00:00,2023-03-31T17:58:00+00:00,REV
LONG,7.850170,7.848680,-0.001490,2023-03-31T17:58:00+00:00,2023-04-04T00:03:00+00:00,REV
SHORT,7.848680,7.850170,-0.001490,2023-04-04T00:03:00+00:00,2023-04-06T11:48:00+00:00,REV
LONG,7.850170,7.849250,-0.000920,2023-04-06T11:48:00+00:00,2023-04-11T00:45:00+00:00,REV
SHORT,7.849250,7.850190,-0.000940,2023-04-11T00:45:00+00:00,2023-04-11T12:14:00+00:00,REV
LONG,7.850190,7.848920,-0.001270,2023-04-11T12:14:00+00:00,2023-04-13T00:06:00+00:00,REV
SHORT,7.848920,7.849790,-0.000870,2023-04-13T00:06:00+00:00,2023-04-25T10:12:00+00:00,REV
LONG,7.849790,7.849190,-0.000600,2023-04-25T10:12:00+00:00,2023-05-04T00:03:00+00:00,REV
SHORT,7.849190,7.841710,0.007480,2023-05-04T00:03:00+00:00,2023-05-12T05:19:00+00:00,REV
LONG,7.841710,7.835380,-0.006330,2023-05-12T05:19:00+00:00,2023-05-16T04:11:00+00:00,REV
SHORT,7.835380,7.828950,0.006430,2023-05-16T04:11:00+00:00,2023-05-23T03:32:00+00:00,REV
LONG,7.828950,7.827050,-0.001900,2023-05-23T03:32:00+00:00,2023-05-29T09:40:00+00:00,REV
SHORT,7.827050,7.835560,-0.008510,2023-05-29T09:40:00+00:00,2023-05-31T03:55:00+00:00,REV
LONG,7.835560,7.836840,0.001280,2023-05-31T03:55:00+00:00,2023-06-08T06:27:00+00:00,REV
SHORT,7.836840,7.826410,0.010430,2023-06-08T06:27:00+00:00,2023-06-21T04:24:00+00:00,REV
LONG,7.826410,7.831380,0.004970,2023-06-21T04:24:00+00:00,2023-07-04T06:12:00+00:00,REV
SHORT,7.831380,7.829560,0.001820,2023-07-04T06:12:00+00:00,2023-07-10T03:48:00+00:00,REV
LONG,7.829560,7.823840,-0.005720,2023-07-10T03:48:00+00:00,2023-07-13T04:42:00+00:00,REV
SHORT,7.823840,7.814290,0.009550,2023-07-13T04:42:00+00:00,2023-07-21T03:45:00+00:00,REV
LONG,7.814290,7.811180,-0.003110,2023-07-21T03:45:00+00:00,2023-07-25T00:04:00+00:00,REV
SHORT,7.811180,7.802450,0.008730,2023-07-25T00:04:00+00:00,2023-08-03T03:05:00+00:00,REV
LONG,7.802450,7.843380,0.040930,2023-08-03T03:05:00+00:00,2023-08-31T11:01:00+00:00,REV
SHORT,7.843380,7.829660,0.013720,2023-08-31T11:01:00+00:00,2023-09-15T03:01:00+00:00,REV
LONG,7.829660,7.824460,-0.005200,2023-09-15T03:01:00+00:00,2023-09-18T04:35:00+00:00,REV
SHORT,7.824460,7.824130,0.000330,2023-09-18T04:35:00+00:00,2023-09-21T04:19:00+00:00,REV
LONG,7.824130,7.818930,-0.005200,2023-09-21T04:19:00+00:00,2023-09-22T03:42:00+00:00,REV
SHORT,7.818930,7.821500,-0.002570,2023-09-22T03:42:00+00:00,2023-09-26T04:57:00+00:00,REV
