direction,entry,exit,pnl,open_time,close_time,reason
LONG,82.78,83.99,1.21,2017-06-07T16:33:00+00:00,2017-06-21T10:13:00+00:00,REV
SHORT,83.99,84.57,-0.58,2017-06-21T10:13:00+00:00,2017-06-26T10:09:00+00:00,REV
LONG,84.57,85.85,1.28,2017-06-26T10:09:00+00:00,2017-07-05T17:02:00+00:00,REV
SHORT,85.85,86.78,-0.93,2017-07-05T17:02:00+00:00,2017-07-10T03:54:00+00:00,REV
LONG,86.78,87.80,1.02,2017-07-10T03:54:00+00:00,2017-07-24T00:00:00+00:00,REV
SHORT,87.80,89.05,-1.25,2017-07-24T00:00:00+00:00,2017-07-26T21:05:00+00:00,REV
LONG,89.05,88.18,-0.87,2017-07-26T21:05:00+00:00,2017-07-31T03:01:00+00:00,REV
SHORT,88.18,86.79,1.39,2017-07-31T03:01:00+00:00,2017-08-16T08:13:00+00:00,REV
LONG,86.79,86.03,-0.76,2017-08-16T08:13:00+00:00,2017-08-18T02:53:00+00:00,REV
SHORT,86.03,86.93,-0.90,2017-08-18T02:53:00+00:00,2017-08-25T17:09:00+00:00,REV
LONG,86.93,85.93,-1.00,2017-08-25T17:09:00+00:00,2017-08-29T01:19:00+00:00,REV
SHORT,85.93,87.12,-1.19,2017-08-29T01:19:00+00:00,2017-08-29T21:35:00+00:00,REV
LONG,87.12,86.98,-0.14,2017-08-29T21:35:00+00:00,2017-09-05T06:12:00+00:00,REV
SHORT,86.98,87.62,-0.64,2017-09-05T06:12:00+00:00,2017-09-08T06:13:00+00:00,REV
LONG,87.62,88.67,1.05,2017-09-08T06:13:00+00:00,2017-09-22T04:20:00+00:00,REV
SHORT,88.67,88.49,0.18,2017-09-22T04:20:00+00:00,2017-10-04T03:07:00+00:00,REV
LONG,88.49,88.03,-0.45,2017-10-04T03:07:00+00:00,2017-10-05T13:10:00+00:00,REV
SHORT,88.03,87.78,0.26,2017-10-05T13:10:00+00:00,2017-10-12T03:02:00+00:00,REV
LONG,87.78,88.39,0.61,2017-10-12T03:02:00+00:00,2017-10-25T03:30:00+00:00,REV
SHORT,88.39,87.47,0.92,2017-10-25T03:30:00+00:00,2017-11-01T10:32:00+00:00,REV
LONG,87.47,87.18,-0.29,2017-11-01T10:32:00+00:00,2017-11-07T17:26:00+00:00,REV
SHORT,87.18,85.06,2.12,2017-11-07T17:26:00+00:00,2017-11-30T07:28:00+00:00,REV
LONG,85.06,84.97,-0.09,2017-11-30T07:28:00+00:00,2017-12-06T06:32:00+00:00,REV
SHORT,84.97,85.53,-0.56,2017-12-06T06:32:00+00:00,2017-12-12T01:33:00+00:00,REV
LONG,85.53,88.08,2.55,2017-12-12T01:33:00+00:00,2018-01-09T15:17:00+00:00,REV
SHORT,88.08,88.17,-0.09,2018-01-09T15:17:00+00:00,2018-01-15T18:43:00+00:00,REV
LONG,88.17,88.37,0.20,2018-01-15T18:43:00+00:00,2018-01-23T10:18:00+00:00,REV
SHORT,88.37,84.82,3.55,2018-01-23T10:18:00+00:00,2018-02-21T02:30:00+00:00,REV
LONG,84.82,83.99,-0.83,2018-02-21T02:30:00+00:00,2018-02-22T01:09:00+00:00,REV
SHORT,83.99,84.13,-0.14,2018-02-22T01:09:00+00:00,2018-02-27T03:43:00+00:00,REV
LONG,84.13,83.27,-0.86,2018-02-27T03:43:00+00:00,2018-02-28T17:43:00+00:00,REV
SHORT,83.27,83.18,0.09,2018-02-28T17:43:00+00:00,2018-03-06T14:20:00+00:00,REV
LONG,83.18,83.48,0.30,2018-03-06T14:20:00+00:00,2018-03-15T03:39:00+00:00,REV
SHORT,83.48,81.90,1.58,2018-03-15T03:39:00+00:00,2018-03-28T20:47:00+00:00,REV
LONG,81.90,83.05,1.15,2018-03-28T20:47:00+00:00,2018-04-18T00:00:00+00:00,REV
SHORT,83.05,83.66,-0.61,2018-04-18T00:00:00+00:00,2018-04-19T02:40:00+00:00,REV
LONG,83.66,83.05,-0.61,2018-04-19T02:40:00+00:00,2018-04-19T19:24:00+00:00,REV
SHORT,83.05,82.30,0.75,2018-04-19T19:24:00+00:00,2018-05-10T10:30:00+00:00,REV
LONG,82.30,82.19,-0.11,2018-05-10T10:30:00+00:00,2018-05-16T04:46:00+00:00,REV
SHORT,82.19,82.79,-0.60,2018-05-16T04:46:00+00:00,2018-05-16T16:54:00+00:00,REV
LONG,82.79,83.04,0.25,2018-05-16T16:54:00+00:00,2018-05-23T10:17:00+00:00,REV
SHORT,83.04,82.67,0.37,2018-05-23T10:17:00+00:00,2018-06-01T16:07:00+00:00,REV
LONG,82.67,83.34,0.67,2018-06-01T16:07:00+00:00,2018-06-08T09:08:00+00:00,REV
SHORT,83.34,81.64,1.70,2018-06-08T09:08:00+00:00,2018-06-29T05:50:00+00:00,REV
LONG,81.64,82.99,1.34,2018-06-29T05:50:00+00:00,2018-07-18T15:04:00+00:00,REV
