market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-06-17,299741,32105,4527,7657,0,14851,19894,12727,4554
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-06-24,090741,201194,25267,78434,12699,135776,85346,27452,24715
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-06-24,092741,69488,8184,29128,153,45702,24934,15449,15273
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-06-24,095741,146855,83729,32418,844,55155,110935,7127,2658
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-06-24,096742,179898,99848,65453,978,43166,87201,35906,26266
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-06-24,097741,314767,178403,46126,3868,92034,239744,40462,25029
USD INDEX - ICE FUTURES U.S.,2025-06-24,098662,31225,13283,19317,2485,12617,5869,2840,3554
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-06-24,099741,762607,223791,112656,26583,417363,581664,94870,41704
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-06-24,102741,132579,66374,21644,16449,44952,93134,4804,1352
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-06-24,112741,44217,18619,15849,4239,17004,20881,4355,3248
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-06-24,122741,19578,14295,2026,491,2981,16032,1811,1029
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-06-24,232741,151032,23249,95811,6971,97992,27517,22820,20733
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-06-24,299741,32168,4549,7561,1,15248,21389,12370,3217
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-01,090741,203485,22149,85601,12645,141514,80544,27177,24695
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-07-01,092741,72546,7100,30953,576,48322,26589,16548,14428
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-07-01,095741,153052,87448,32936,749,57224,116975,7631,2392
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-07-01,096742,188689,107150,75751,623,42773,86744,38143,25571
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-07-01,097741,314251,170624,43286,3395,94864,245721,45368,21849
USD INDEX - ICE FUTURES U.S.,2025-07-01,098662,36286,16873,21155,2569,13540,8426,3304,4136
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-07-01,099741,779031,224979,117442,27179,430913,591577,95960,42833
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-07-01,102741,124507,74241,21998,1608,42053,95288,6605,5613
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-01,112741,42303,18315,14165,4555,14526,20290,4907,3293
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-07-01,122741,20049,14747,2105,491,2757,16738,2054,715
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-01,232741,151338,25539,95629,7003,93083,27084,25713,21622
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-07-01,299741,36700,7636,11301,2,15991,21891,13071,3506
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-08,090741,201326,20344,91952,11662,140689,71995,28631,25717
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-07-08,092741,72761,8488,30684,76,48057,27280,16140,14721
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-07-08,095741,167262,97431,42353,785,61703,121631,7343,2493
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-07-08,096742,191557,108019,74825,1408,45495,89037,36635,26287
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-07-08,097741,308621,166192,50037,4898,96636,225316,40895,28370
USD INDEX - ICE FUTURES U.S.,2025-07-08,098662,35076,16208,20194,2572,13063,8301,3233,4009
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-07-08,099741,805847,241125,120529,25402,439953,617376,99367,42540
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-07-08,102741,100849,65516,16546,765,29342,82513,5226,1025
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-08,112741,43037,18984,14063,4611,14023,20962,5419,3401
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-07-08,122741,22069,16631,2532,585,2649,18216,2204,736
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-08,232741,153390,23272,97586,8238,95712,27567,26168,19999
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-07-08,299741,38647,10223,13513,0,14748,22032,13676,3102
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-15,090741,202720,21924,96018,11867,141093,68327,27836,26508
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-07-15,092741,74255,9959,32596,60,49559,26543,14677,15056
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-07-15,095741,165808,92332,42210,675,63981,120154,8820,2769
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-07-15,096742,187275,100980,71789,1892,49932,87413,34471,26181
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-07-15,097741,321350,165444,61862,3879,108744,219590,43283,36019
USD INDEX - ICE FUTURES U.S.,2025-07-15,098662,35177,16262,19927,2664,13186,8764,3065,3822
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-07-15,099741,820440,242096,113875,29211,451525,635740,97608,41614
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-07-15,102741,95160,60809,36637,625,28965,57033,4761,865
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-15,112741,41959,16623,12988,4866,16041,20044,4429,4061
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-07-15,122741,22331,16767,2576,585,3040,18294,1939,876
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-15,232741,150487,21233,96152,8151,97063,24535,24040,21649
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-07-15,299741,35438,9296,11547,0,12618,20800,13524,3091
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-22,090741,200895,23086,93429,13402,140760,69250,23647,24814
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-07-22,092741,75681,8087,34152,105,52184,25753,15305,15671
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-07-22,095741,172369,99081,43017,1271,64766,125106,7251,2975
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-07-22,096742,195467,93760,93190,1600,67928,73667,32179,27010
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-07-22,097741,313040,164411,57766,3421,101532,218892,43676,32961
USD INDEX - ICE FUTURES U.S.,2025-07-22,098662,35725,16925,20376,2620,13234,9246,2946,3483
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-07-22,099741,843447,248380,122865,29751,469100,646813,96216,44018
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-07-22,102741,93421,58202,32345,1160,29484,58872,4575,1044
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-22,112741,44100,11955,15117,5213,22656,19365,4276,4405
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-07-22,122741,22677,15704,3100,585,4155,18155,2233,837
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-22,232741,161394,25066,106321,7834,105142,27801,23352,19438
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-07-22,299741,38587,9376,13336,0,14980,22344,14231,2907
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-29,090741,201852,20884,97317,13328,143816,66528,23824,24679
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-07-29,092741,76905,9023,33057,127,54734,26444,13021,17277
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-07-29,095741,173983,99141,42463,668,67835,127938,6339,2914
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-07-29,096742,207879,87799,99827,2055,88729,75405,29296,30592
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-07-29,097741,329115,162122,72879,3535,123152,215700,40306,37001
USD INDEX - ICE FUTURES U.S.,2025-07-29,098662,32919,13960,18116,2616,12534,8687,3809,3500
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-07-29,099741,828577,248841,125482,29265,452550,628328,97921,45502
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-07-29,102741,114097,50846,26924,25961,33082,60060,4208,1152
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-29,112741,46587,13080,15171,5520,23295,22132,4692,3764
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-07-29,122741,24237,16897,3871,709,4604,18798,2027,859
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-07-29,232741,159680,26506,104600,7544,102997,27955,22633,19581
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-07-29,299741,39546,9455,13793,0,15529,22534,14562,3219
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-05,090741,214849,23589,103009,12753,156289,71412,22218,27675
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-08-05,092741,79837,6806,34183,437,60532,27419,12062,17798
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-08-05,095741,176153,105231,37176,943,63351,135042,6628,2992
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-08-05,096742,206254,65635,98938,2459,108854,76211,29306,28646
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-08-05,097741,337378,160258,78252,3024,136734,224075,37362,32027
USD INDEX - ICE FUTURES U.S.,2025-08-05,098662,30064,11399,18429,2278,11847,6482,4540,2875
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-08-05,099741,818360,247357,131398,25219,453569,617114,92215,44629
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-08-05,102741,89286,51209,26611,1168,32730,60560,4179,947
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-05,112741,48090,11085,15918,5470,27755,21596,3780,5106
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-08-05,122741,25510,17511,3322,708,5732,20348,1559,1132
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-05,232741,163900,23988,107548,7790,110361,27816,21761,20746
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-08-05,299741,38716,9853,13278,0,15031,22523,13832,2915
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-12,090741,221109,20898,110975,14026,162833,69262,23352,26846
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-08-12,092741,80415,6091,34134,549,60689,27465,13086,18267
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-08-12,095741,182397,106539,45300,1483,67876,132724,6499,2890
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-08-12,096742,216082,73736,112829,2808,109217,73700,30321,26745
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-08-12,097741,351163,164693,90459,4128,147170,221065,35172,35511
USD INDEX - ICE FUTURES U.S.,2025-08-12,098662,30410,12729,18976,2109,11370,6248,4202,3077
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-08-12,099741,824972,246299,130868,24543,458037,625100,96093,44461
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-08-12,102741,103240,59388,19806,3777,35788,78857,4287,800
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-12,112741,48240,11160,15847,5337,27937,22138,3806,4918
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-08-12,122741,24709,15636,3826,706,6543,18539,1824,1638
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-12,232741,171294,25631,113536,7170,114396,30163,24097,20425
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-08-12,299741,40526,10635,15521,0,16059,22458,13832,2547
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-19,090741,220859,19028,112107,12972,165165,64347,23694,31433
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-08-19,092741,80039,6459,33737,2,60354,25832,13224,20468
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-08-19,095741,162678,91974,27449,2366,61700,129628,6638,3235
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-08-19,096742,219831,81303,106488,2010,103816,83024,32702,28309
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-08-19,097741,348982,168363,90782,4038,139967,219849,36614,34313
USD INDEX - ICE FUTURES U.S.,2025-08-19,098662,28891,11359,17347,2208,11278,6218,4046,3118
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-08-19,099741,825219,252719,133974,26061,452297,618728,94142,46456
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-08-19,102741,105972,61948,31538,3321,36559,70053,4144,1060
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-19,112741,47495,12986,17056,4852,25428,20359,4229,5228
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-08-19,122741,23606,14774,3079,704,6094,18207,2034,1616
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-19,232741,185901,31668,126555,6622,124358,30962,23253,21762
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-08-19,299741,40851,10487,15352,0,16435,22522,13929,2977
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-26,090741,227180,20397,125412,12452,168866,60306,25465,29010
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-08-26,092741,78933,6659,33637,4,59259,26207,13011,19085
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-08-26,095741,165392,97158,28160,2187,59405,131219,6642,3826
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-08-26,096742,219906,76001,107354,2749,108993,83031,32163,26772
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-08-26,097741,357366,170765,86281,7959,139358,229508,39284,33618
USD INDEX - ICE FUTURES U.S.,2025-08-26,098662,31488,13158,19263,2812,12326,6163,3192,3250
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-08-26,099741,842215,258386,135347,27570,461163,634369,95096,44929
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-08-26,102741,132012,64875,35959,4875,57495,90044,4767,1134
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-26,112741,53094,17143,23248,3735,28377,20466,3839,5645
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-08-26,122741,23991,15516,4285,705,5685,17544,2085,1457
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-08-26,232741,191207,28700,129290,6010,135250,33965,21247,21942
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-08-26,299741,40766,10920,15690,0,15958,22027,13888,3049
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2025-08-26,399741,16122,2732,3861,75,4562,7791,8753,4395
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-02,090741,225322,16584,125560,13015,173237,57879,22486,28868
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-09-02,092741,80906,8401,34289,108,58949,26490,13448,20019
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-09-02,095741,179417,101520,28507,5205,66278,142296,6414,3409
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-09-02,096742,226437,76062,109202,1403,117507,85703,31465,30129
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-09-02,097741,414249,174774,101516,45840,152763,229019,40872,37874
USD INDEX - ICE FUTURES U.S.,2025-09-02,098662,31502,13645,18666,2949,12109,6319,2799,3568
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-09-02,099741,845820,255660,136068,39101,455696,626965,95363,43686
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-09-02,102741,132738,67244,34075,238,60088,93913,5168,4512
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-02,112741,55035,17462,23936,4262,29585,21489,3726,5348
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-09-02,122741,24806,15892,4582,713,6001,17978,2200,1533
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-02,232741,185048,29677,112360,6116,124987,45873,24268,20699
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-02,299741,39479,9853,14887,8,15570,21951,14048,2633
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-09,090741,249304,18704,127621,12919,192465,77424,25216,31340
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-09-09,092741,105100,6989,35828,2905,77874,47059,17332,19308
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-09-09,095741,213424,107503,33771,9806,89064,166599,7051,3248
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-09-09,096742,322879,74849,108454,30021,184370,154586,33639,29818
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-09-09,097741,410799,180724,89081,28684,157854,258296,43537,34738
USD INDEX - ICE FUTURES U.S.,2025-09-09,098662,38029,19192,24750,2945,13288,6646,2604,3688
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-09-09,099741,878104,258049,132372,50777,468861,648508,100417,46447
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-09-09,102741,107535,67641,11554,633,34405,94503,4856,845
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-09,112741,71602,15479,24222,14421,38065,27224,3637,5735
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-09-09,122741,27865,16110,4909,2626,6711,19037,2418,1293
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-09,232741,208092,32200,111431,9712,141051,67830,25129,19119
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-09,299741,41068,8081,15723,983,17141,22054,14863,2308
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-16,090741,266847,20975,128152,4268,218993,104812,22611,29615
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-09-16,092741,71730,6235,32275,484,49405,21207,15606,17764
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-09-16,095741,182118,112395,34402,213,61957,144698,7553,2805
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-09-16,096742,234531,80796,87376,3856,112620,117719,37259,25580
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-09-16,097741,299620,161673,100262,2267,95157,163495,40523,33596
USD INDEX - ICE FUTURES U.S.,2025-09-16,098662,38526,12491,25385,2298,20961,7427,2776,3416
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-09-16,099741,855448,253261,135502,17086,490481,657861,94620,44999
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-09-16,102741,120214,72832,10610,5094,37805,103557,4483,953
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-16,112741,49146,9251,27255,1606,34634,15218,3655,5067
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-09-16,122741,24174,14254,4797,585,6946,17799,2389,993
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-16,232741,154790,40276,91436,2519,82083,41432,29912,19403
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-16,299741,38027,8017,6457,0,15960,27958,14050,3612
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-16,399741,17226,3486,3835,85,4542,8581,9113,4725
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-23,090741,212186,18035,132841,3163,169084,44903,21904,31279
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-09-23,092741,72030,8227,31245,40,49513,22854,14250,17891
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-09-23,095741,176007,107346,23913,90,60814,149153,7757,2851
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-09-23,096742,233166,84500,86464,3229,112662,115866,32775,27607
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-09-23,097741,309893,176400,96900,2620,92252,175491,38621,34882
USD INDEX - ICE FUTURES U.S.,2025-09-23,098662,40441,14032,24376,2285,21419,10044,2705,3736
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-09-23,099741,859215,252472,138127,16213,495459,661236,95071,43639
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-09-23,102741,134318,76723,11224,13287,40216,108912,4092,895
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-23,112741,56346,12295,33415,2792,37503,14932,3756,5207
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-09-23,122741,23282,13276,4098,585,7176,17793,2245,806
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-23,232741,160854,41994,101584,1590,89563,40649,27707,17031
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-23,299741,38359,7580,6056,0,15620,28373,15159,3930
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-23,399741,16836,4192,3828,85,4335,7872,8224,5051
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-30,090741,240191,29920,149825,4761,184464,50185,21046,35420
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-09-30,092741,71950,8377,34439,52,49999,20007,13522,17452
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-09-30,095741,183221,115256,23373,403,60417,156785,7145,2660
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-09-30,096742,226426,80540,89434,2228,113199,105453,30459,29311
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-09-30,097741,305711,167811,106346,3715,96572,157317,37613,38333
USD INDEX - ICE FUTURES U.S.,2025-09-30,098662,35699,9726,23362,2278,20620,6802,3075,3257
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-09-30,099741,845775,252530,135161,14867,484109,651245,94269,44502
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-09-30,102741,140410,97783,15225,10063,28285,114081,4279,1041
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-30,112741,68651,23582,44207,1467,39737,17298,3865,5679
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-09-30,122741,23488,13972,8062,585,6537,13835,2394,1006
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-09-30,232741,167976,41713,106319,1643,97084,43192,27536,16822
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-09-30,299741,38291,7088,5553,32,15743,28373,15428,4333
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-07,090741,261636,29514,166232,3966,206796,54881,21360,36557
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-10-07,092741,72046,7568,35038,127,50581,19286,13770,17595
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-10-07,095741,191754,115817,28150,237,69209,160667,6491,2700
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-10-07,096742,247550,94411,98887,3515,121358,117829,28266,27319
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-10-07,097741,305134,159197,112890,4723,102742,148716,38472,38805
USD INDEX - ICE FUTURES U.S.,2025-10-07,098662,38717,12456,25601,2419,20856,7542,2986,3155
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-10-07,099741,855286,255907,137542,16040,488102,655936,95237,45768
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-10-07,102741,103701,80050,20404,812,18728,81504,4111,981
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-07,112741,72345,22866,47289,799,44976,19076,3704,5181
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-10-07,122741,25740,15887,9138,585,7001,14791,2267,1226
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-07,232741,170970,47717,105522,1416,91184,49383,30653,14649
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-10-07,299741,38130,7357,5141,0,15536,29094,15237,3895
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2025-10-07,399741,17620,4764,3828,85,3732,8432,9039,5275
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-14,090741,269924,27162,164755,6111,215542,62962,21109,36096
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-10-14,092741,73172,8407,36613,55,51519,18689,13191,17815
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-10-14,095741,178245,95674,28113,1212,75373,145927,5986,2993
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2025-10-14,096742,237520,79515,91144,1903,129942,113152,26160,31321
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-10-14,097741,305003,160639,123473,2387,104332,140952,37645,38191
USD INDEX - ICE FUTURES U.S.,2025-10-14,098662,37137,12279,27212,2510,18342,4576,4006,2839
EURO FX - CHICAGO MERCANTILE EXCHANGE,2025-10-14,099741,841079,243010,134685,21784,484101,633231,92184,51379
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2025-10-14,102741,98460,75781,19672,1313,17558,76218,3808,1257
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-14,112741,82509,25599,55340,987,52172,20117,3751,6065
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,2025-10-14,122741,24177,15080,7024,585,6722,14812,1790,1756
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-14,232741,170002,50324,109902,3241,89806,39328,26631,17531
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2025-10-14,299741,37909,7260,5067,0,15643,29141,15006,3701
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,2025-10-14,399741,19273,6722,3828,85,4117,10724,8349,4636
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-10-21,090741,272419,28098,173206,4296,217778,59424,22247,35493
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-10-21,092741,74034,7366,35210,448,51782,21236,14438,17140
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-10-21,095741,177118,99658,26316,760,70073,147502,6627,2540
